+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
|   100mb_s10000_a10000_u100000_n2048_m2048    |  100mb   |      10000      |       10000        |      100000     |     2048    |     2048    |       5.17462593       |      79.137901762     | 1429.3453639459499 |
|    100mb_s10000_a10000_u100000_n512_m1024    |  100mb   |      10000      |       10000        |      100000     |     512     |     1024    |      5.177518746       |      32.588653389     | 529.4260820238854  |
|    100mb_s10000_a10000_u100000_n512_m2048    |  100mb   |      10000      |       10000        |      100000     |     512     |     2048    |      5.178072497       |      32.545422218     | 528.5238809780226  |
|    100mb_s10000_a10000_u100000_n512_m512     |  100mb   |      10000      |       10000        |      100000     |     512     |     512     |      5.179038424       |      32.66264463      | 530.6700579520552  |
|    100mb_s10000_a10000_u100000_n64_m1024     |  100mb   |      10000      |       10000        |      100000     |      64     |     1024    |      5.174996081       |      12.379438697     | 139.21638786261335 |
|    100mb_s10000_a10000_u100000_n64_m2048     |  100mb   |      10000      |       10000        |      100000     |      64     |     2048    |      5.177337012       |      12.496413246     | 141.3675837025075  |
|     100mb_s10000_a10000_u100000_n64_m512     |  100mb   |      10000      |       10000        |      100000     |      64     |     512     |      5.176270619       |      12.537170957     | 142.20470450252554 |
|     100mb_s10000_a10000_u100000_n64_m64      |  100mb   |      10000      |       10000        |      100000     |      64     |      64     |      5.177782731       |      11.257643092     | 117.42208348371119 |
|    100mb_s10000_a10000_u10000_n1024_m1024    |  100mb   |      10000      |       10000        |      10000      |     1024    |     1024    |      5.177000456       |      47.397674239     | 815.5431729596895  |
|    100mb_s10000_a10000_u10000_n1024_m2048    |  100mb   |      10000      |       10000        |      10000      |     1024    |     2048    |      5.177166366       |      52.141476547     | 907.1431524671233  |
